"strain1","strain2","pvalue","FDR","gxl"
"FVB/NJ-control","SJL/J-fluoxetine",NA,FALSE,TRUE
"129S1/SvImJ-control","SJL/J-fluoxetine",NA,FALSE,TRUE
"C3H/HeJ-control","SJL/J-fluoxetine",NA,FALSE,TRUE
"PL/J-control","SJL/J-fluoxetine",NA,FALSE,TRUE
"LG/J-control","SJL/J-fluoxetine",NA,FALSE,TRUE
"RIIIS/J-control","SJL/J-fluoxetine",NA,FALSE,TRUE
"LP/J-control","SJL/J-fluoxetine",NA,FALSE,TRUE
"PL/J-fluoxetine","SJL/J-fluoxetine",NA,FALSE,TRUE
"C58/J-control","SJL/J-fluoxetine",NA,FALSE,TRUE
"SM/J-control","SJL/J-fluoxetine",NA,FALSE,TRUE
"NOD/ShiLtJ-control","SJL/J-fluoxetine",NA,FALSE,TRUE
"BUB/BnJ-fluoxetine","SJL/J-fluoxetine",NA,FALSE,TRUE
"NOD/ShiLtJ-fluoxetine","SJL/J-fluoxetine",NA,FALSE,TRUE
"DBA/2J-control","SJL/J-fluoxetine",NA,FALSE,TRUE
"C57BLKS/J-control","SJL/J-fluoxetine",NA,FALSE,TRUE
"DBA/2J-fluoxetine","SJL/J-fluoxetine",NA,FALSE,TRUE
"CBA/J-control","SJL/J-fluoxetine",NA,FALSE,TRUE
"C57BL/6J-fluoxetine","SJL/J-fluoxetine",NA,FALSE,TRUE
"NOR/LtJ-control","SJL/J-fluoxetine",NA,FALSE,TRUE
"BUB/BnJ-control","SJL/J-fluoxetine",NA,FALSE,TRUE
"C57BLKS/J-fluoxetine","SJL/J-fluoxetine",NA,FALSE,TRUE
"C57BR/cdJ-fluoxetine","SJL/J-fluoxetine",NA,FALSE,TRUE
"MA/MyJ-fluoxetine","SJL/J-fluoxetine",NA,FALSE,TRUE
"C58/J-fluoxetine","SJL/J-fluoxetine",NA,FALSE,TRUE
"SJL/J-control","SJL/J-fluoxetine",NA,FALSE,TRUE
"A/J-control","SJL/J-fluoxetine",NA,FALSE,TRUE
"SWR/J-control","SJL/J-fluoxetine",NA,FALSE,TRUE
"NZW/LacJ-fluoxetine","SJL/J-fluoxetine",NA,FALSE,TRUE
"P/J-fluoxetine","SJL/J-fluoxetine",NA,FALSE,TRUE
"C57BR/cdJ-control","SJL/J-fluoxetine",NA,FALSE,TRUE
"CBA/J-fluoxetine","SJL/J-fluoxetine",NA,FALSE,TRUE
"BTBR T+ tf/J-control","SJL/J-fluoxetine",NA,FALSE,TRUE
"LG/J-fluoxetine","SJL/J-fluoxetine",NA,FALSE,TRUE
"I/LnJ-fluoxetine","SJL/J-fluoxetine",NA,FALSE,TRUE
"A/J-fluoxetine","SJL/J-fluoxetine",NA,FALSE,TRUE
"AKR/J-control","SJL/J-fluoxetine",NA,FALSE,TRUE
"MRL/MpJ-control","SJL/J-fluoxetine",NA,FALSE,TRUE
"BALB/cJ-control","SJL/J-fluoxetine",NA,FALSE,TRUE
"C3H/HeJ-fluoxetine","SJL/J-fluoxetine",NA,FALSE,TRUE
"129S1/SvImJ-fluoxetine","SJL/J-fluoxetine",NA,FALSE,TRUE
"MRL/MpJ-fluoxetine","SJL/J-fluoxetine",NA,FALSE,TRUE
"CE/J-control","SM/J-control",NA,FALSE,TRUE
"SJL/J-control","SM/J-control",NA,FALSE,TRUE
"BALB/cJ-control","SM/J-control",NA,FALSE,TRUE
"RIIIS/J-control","SM/J-control",NA,FALSE,TRUE
"MA/MyJ-control","SM/J-control",NA,FALSE,TRUE
"MRL/MpJ-control","SM/J-control",NA,FALSE,TRUE
"C57BR/cdJ-control","SM/J-control",NA,FALSE,TRUE
"C57BLKS/J-control","SM/J-control",NA,FALSE,TRUE
"DBA/2J-control","SM/J-control",NA,FALSE,TRUE
"CBA/J-control","SM/J-control",NA,FALSE,TRUE
"BUB/BnJ-control","SM/J-control",NA,FALSE,TRUE
"AKR/J-control","SM/J-control",NA,FALSE,TRUE
"I/LnJ-control","SM/J-control",NA,FALSE,TRUE
"FVB/NJ-control","SM/J-control",NA,FALSE,TRUE
"NZB/BlNJ-control","SM/J-control",NA,FALSE,TRUE
"A/J-control","SM/J-control",NA,FALSE,TRUE
"LP/J-control","SM/J-control",NA,FALSE,TRUE
"PL/J-control","SM/J-control",NA,FALSE,TRUE
"BTBR T+ tf/J-control","SM/J-control",NA,FALSE,TRUE
"P/J-control","SM/J-control",NA,FALSE,TRUE
"NOD/ShiLtJ-control","SM/J-control",NA,FALSE,TRUE
"NZW/LacJ-control","SM/J-control",NA,FALSE,TRUE
"C57BL/6J-control","SM/J-control",NA,FALSE,TRUE
"C58/J-control","SM/J-control",NA,FALSE,TRUE
"C3H/HeJ-control","SM/J-control",NA,FALSE,TRUE
"129S1/SvImJ-control","SM/J-control",NA,FALSE,TRUE
"NOR/LtJ-control","SM/J-control",NA,FALSE,TRUE
"LG/J-control","SM/J-control",NA,FALSE,TRUE
"CE/J-fluoxetine","SM/J-fluoxetine",NA,FALSE,TRUE
"FVB/NJ-fluoxetine","SM/J-fluoxetine",NA,FALSE,TRUE
"NZW/LacJ-control","SM/J-fluoxetine",NA,FALSE,TRUE
"RIIIS/J-fluoxetine","SM/J-fluoxetine",NA,FALSE,TRUE
"RIIIS/J-control","SM/J-fluoxetine",NA,FALSE,TRUE
"P/J-control","SM/J-fluoxetine",NA,FALSE,TRUE
"LG/J-fluoxetine","SM/J-fluoxetine",NA,FALSE,TRUE
"BTBR T+ tf/J-fluoxetine","SM/J-fluoxetine",NA,FALSE,TRUE
"PL/J-control","SM/J-fluoxetine",NA,FALSE,TRUE
"AKR/J-fluoxetine","SM/J-fluoxetine",NA,FALSE,TRUE
"NOR/LtJ-fluoxetine","SM/J-fluoxetine",NA,FALSE,TRUE
"SWR/J-control","SM/J-fluoxetine",NA,FALSE,TRUE
"C3H/HeJ-control","SM/J-fluoxetine",NA,FALSE,TRUE
"LP/J-fluoxetine","SM/J-fluoxetine",NA,FALSE,TRUE
"LP/J-control","SM/J-fluoxetine",NA,FALSE,TRUE
"C58/J-fluoxetine","SM/J-fluoxetine",NA,FALSE,TRUE
"BUB/BnJ-fluoxetine","SM/J-fluoxetine",NA,FALSE,TRUE
"CE/J-control","SM/J-fluoxetine",NA,FALSE,TRUE
"BALB/cJ-fluoxetine","SM/J-fluoxetine",NA,FALSE,TRUE
"A/J-fluoxetine","SM/J-fluoxetine",NA,FALSE,TRUE
"FVB/NJ-control","SM/J-fluoxetine",NA,FALSE,TRUE
"I/LnJ-control","SM/J-fluoxetine",NA,FALSE,TRUE
"NZB/BlNJ-fluoxetine","SM/J-fluoxetine",NA,FALSE,TRUE
"NOD/ShiLtJ-control","SM/J-fluoxetine",NA,FALSE,TRUE
"I/LnJ-fluoxetine","SM/J-fluoxetine",NA,FALSE,TRUE
"MA/MyJ-fluoxetine","SM/J-fluoxetine",NA,FALSE,TRUE
"NOD/ShiLtJ-fluoxetine","SM/J-fluoxetine",NA,FALSE,TRUE
"DBA/2J-control","SM/J-fluoxetine",NA,FALSE,TRUE
"MA/MyJ-control","SM/J-fluoxetine",NA,FALSE,TRUE
"A/J-control","SM/J-fluoxetine",NA,FALSE,TRUE
"C57BR/cdJ-control","SM/J-fluoxetine",NA,FALSE,TRUE
"SM/J-control","SM/J-fluoxetine",NA,FALSE,TRUE
"CBA/J-control","SM/J-fluoxetine",NA,FALSE,TRUE
"AKR/J-control","SM/J-fluoxetine",NA,FALSE,TRUE
"BTBR T+ tf/J-control","SM/J-fluoxetine",NA,FALSE,TRUE
"C57BR/cdJ-fluoxetine","SM/J-fluoxetine",NA,FALSE,TRUE
"NOR/LtJ-control","SM/J-fluoxetine",NA,FALSE,TRUE
"129S1/SvImJ-fluoxetine","SM/J-fluoxetine",NA,FALSE,TRUE
"SJL/J-fluoxetine","SM/J-fluoxetine",NA,FALSE,TRUE
"NZW/LacJ-fluoxetine","SM/J-fluoxetine",NA,FALSE,TRUE
"P/J-fluoxetine","SM/J-fluoxetine",NA,FALSE,TRUE
"DBA/2J-fluoxetine","SM/J-fluoxetine",NA,FALSE,TRUE
"LG/J-control","SM/J-fluoxetine",NA,FALSE,TRUE
"SJL/J-control","SM/J-fluoxetine",NA,FALSE,TRUE
"C58/J-control","SM/J-fluoxetine",NA,FALSE,TRUE
"C3H/HeJ-fluoxetine","SM/J-fluoxetine",NA,FALSE,TRUE
"NZB/BlNJ-control","SM/J-fluoxetine",NA,FALSE,TRUE
"BUB/BnJ-control","SM/J-fluoxetine",NA,FALSE,TRUE
"C57BLKS/J-fluoxetine","SM/J-fluoxetine",NA,FALSE,TRUE
"C57BL/6J-fluoxetine","SM/J-fluoxetine",NA,FALSE,TRUE
"C57BL/6J-control","SM/J-fluoxetine",NA,FALSE,TRUE
"MRL/MpJ-fluoxetine","SM/J-fluoxetine",NA,FALSE,TRUE
"MRL/MpJ-control","SM/J-fluoxetine",NA,FALSE,TRUE
"BALB/cJ-control","SM/J-fluoxetine",NA,FALSE,TRUE
"C57BLKS/J-control","SM/J-fluoxetine",NA,FALSE,TRUE
"129S1/SvImJ-control","SM/J-fluoxetine",NA,FALSE,TRUE
"CBA/J-fluoxetine","SM/J-fluoxetine",NA,FALSE,TRUE
"PL/J-fluoxetine","SM/J-fluoxetine",NA,FALSE,TRUE
"BALB/cJ-control","SWR/J-control",NA,FALSE,TRUE
"SM/J-control","SWR/J-control",NA,FALSE,TRUE
"A/J-control","SWR/J-control",NA,FALSE,TRUE
"PL/J-control","SWR/J-control",NA,FALSE,TRUE
"MRL/MpJ-control","SWR/J-control",NA,FALSE,TRUE
"BUB/BnJ-control","SWR/J-control",NA,FALSE,TRUE
"SJL/J-control","SWR/J-control",NA,FALSE,TRUE
"MA/MyJ-control","SWR/J-control",NA,FALSE,TRUE
"NZB/BlNJ-control","SWR/J-control",NA,FALSE,TRUE
"C57BL/6J-control","SWR/J-control",NA,FALSE,TRUE
"C58/J-control","SWR/J-control",NA,FALSE,TRUE
"AKR/J-control","SWR/J-control",NA,FALSE,TRUE
"BTBR T+ tf/J-control","SWR/J-control",NA,FALSE,TRUE
"NOD/ShiLtJ-control","SWR/J-control",NA,FALSE,TRUE
"C3H/HeJ-control","SWR/J-control",NA,FALSE,TRUE
"DBA/2J-control","SWR/J-control",NA,FALSE,TRUE
"NZW/LacJ-control","SWR/J-control",NA,FALSE,TRUE
"LG/J-control","SWR/J-control",NA,FALSE,TRUE
"LP/J-control","SWR/J-control",NA,FALSE,TRUE
"P/J-control","SWR/J-control",NA,FALSE,TRUE
"129S1/SvImJ-control","SWR/J-control",NA,FALSE,TRUE
"C57BR/cdJ-control","SWR/J-control",NA,FALSE,TRUE
"CE/J-control","SWR/J-control",NA,FALSE,TRUE
"NOR/LtJ-control","SWR/J-control",NA,FALSE,TRUE
"FVB/NJ-control","SWR/J-control",NA,FALSE,TRUE
"CBA/J-control","SWR/J-control",NA,FALSE,TRUE
"I/LnJ-control","SWR/J-control",NA,FALSE,TRUE
"RIIIS/J-control","SWR/J-control",NA,FALSE,TRUE
"C57BLKS/J-control","SWR/J-control",NA,FALSE,TRUE
"NOR/LtJ-fluoxetine","SWR/J-fluoxetine",NA,FALSE,TRUE
"RIIIS/J-control","SWR/J-fluoxetine",NA,FALSE,TRUE
"NOD/ShiLtJ-fluoxetine","SWR/J-fluoxetine",NA,FALSE,TRUE
"MA/MyJ-fluoxetine","SWR/J-fluoxetine",NA,FALSE,TRUE
"BALB/cJ-fluoxetine","SWR/J-fluoxetine",NA,FALSE,TRUE
"NZW/LacJ-control","SWR/J-fluoxetine",NA,FALSE,TRUE
"NOD/ShiLtJ-control","SWR/J-fluoxetine",NA,FALSE,TRUE
"C3H/HeJ-fluoxetine","SWR/J-fluoxetine",NA,FALSE,TRUE
"NOR/LtJ-control","SWR/J-fluoxetine",NA,FALSE,TRUE
"MA/MyJ-control","SWR/J-fluoxetine",NA,FALSE,TRUE
"DBA/2J-fluoxetine","SWR/J-fluoxetine",NA,FALSE,TRUE
"A/J-control","SWR/J-fluoxetine",NA,FALSE,TRUE
"C57BR/cdJ-control","SWR/J-fluoxetine",NA,FALSE,TRUE
"NZW/LacJ-fluoxetine","SWR/J-fluoxetine",NA,FALSE,TRUE
"P/J-control","SWR/J-fluoxetine",NA,FALSE,TRUE
"AKR/J-fluoxetine","SWR/J-fluoxetine",NA,FALSE,TRUE
"FVB/NJ-fluoxetine","SWR/J-fluoxetine",NA,FALSE,TRUE
"CE/J-control","SWR/J-fluoxetine",NA,FALSE,TRUE
"I/LnJ-control","SWR/J-fluoxetine",NA,FALSE,TRUE
"C57BL/6J-control","SWR/J-fluoxetine",NA,FALSE,TRUE
"CBA/J-fluoxetine","SWR/J-fluoxetine",NA,FALSE,TRUE
"I/LnJ-fluoxetine","SWR/J-fluoxetine",NA,FALSE,TRUE
"MRL/MpJ-control","SWR/J-fluoxetine",NA,FALSE,TRUE
"C57BLKS/J-control","SWR/J-fluoxetine",NA,FALSE,TRUE
"LG/J-control","SWR/J-fluoxetine",NA,FALSE,TRUE
"BUB/BnJ-fluoxetine","SWR/J-fluoxetine",NA,FALSE,TRUE
"C57BL/6J-fluoxetine","SWR/J-fluoxetine",NA,FALSE,TRUE
"RIIIS/J-fluoxetine","SWR/J-fluoxetine",NA,FALSE,TRUE
"SM/J-fluoxetine","SWR/J-fluoxetine",NA,FALSE,TRUE
"FVB/NJ-control","SWR/J-fluoxetine",NA,FALSE,TRUE
"BTBR T+ tf/J-control","SWR/J-fluoxetine",NA,FALSE,TRUE
"C57BLKS/J-fluoxetine","SWR/J-fluoxetine",NA,FALSE,TRUE
"MRL/MpJ-fluoxetine","SWR/J-fluoxetine",NA,FALSE,TRUE
"129S1/SvImJ-fluoxetine","SWR/J-fluoxetine",NA,FALSE,TRUE
"SJL/J-control","SWR/J-fluoxetine",NA,FALSE,TRUE
"C58/J-fluoxetine","SWR/J-fluoxetine",NA,FALSE,TRUE
"SJL/J-fluoxetine","SWR/J-fluoxetine",NA,FALSE,TRUE
"LG/J-fluoxetine","SWR/J-fluoxetine",NA,FALSE,TRUE
"A/J-fluoxetine","SWR/J-fluoxetine",NA,FALSE,TRUE
"LP/J-control","SWR/J-fluoxetine",NA,FALSE,TRUE
"CBA/J-control","SWR/J-fluoxetine",NA,FALSE,TRUE
"NZB/BlNJ-control","SWR/J-fluoxetine",NA,FALSE,TRUE
"BTBR T+ tf/J-fluoxetine","SWR/J-fluoxetine",NA,FALSE,TRUE
"PL/J-control","SWR/J-fluoxetine",NA,FALSE,TRUE
"CE/J-fluoxetine","SWR/J-fluoxetine",NA,FALSE,TRUE
"129S1/SvImJ-control","SWR/J-fluoxetine",NA,FALSE,TRUE
"C57BR/cdJ-fluoxetine","SWR/J-fluoxetine",NA,FALSE,TRUE
"PL/J-fluoxetine","SWR/J-fluoxetine",NA,FALSE,TRUE
"NZB/BlNJ-fluoxetine","SWR/J-fluoxetine",NA,FALSE,TRUE
"P/J-fluoxetine","SWR/J-fluoxetine",NA,FALSE,TRUE
"DBA/2J-control","SWR/J-fluoxetine",NA,FALSE,TRUE
"LP/J-fluoxetine","SWR/J-fluoxetine",NA,FALSE,TRUE
"C3H/HeJ-control","SWR/J-fluoxetine",NA,FALSE,TRUE
"SM/J-control","SWR/J-fluoxetine",NA,FALSE,TRUE
"BUB/BnJ-control","SWR/J-fluoxetine",NA,FALSE,TRUE
"AKR/J-control","SWR/J-fluoxetine",NA,FALSE,TRUE
"C58/J-control","SWR/J-fluoxetine",NA,FALSE,TRUE
"BALB/cJ-control","SWR/J-fluoxetine",NA,FALSE,TRUE
"SWR/J-control","SWR/J-fluoxetine",NA,FALSE,TRUE
"A/J-control","129S1/SvImJ-fluoxetine",NA,TRUE,TRUE
"SM/J-control","129S1/SvImJ-fluoxetine",NA,TRUE,TRUE
"NOD/ShiLtJ-control","129S1/SvImJ-fluoxetine",NA,TRUE,TRUE
"BUB/BnJ-control","129S1/SvImJ-fluoxetine",NA,TRUE,TRUE
"C3H/HeJ-control","129S1/SvImJ-fluoxetine",NA,TRUE,TRUE
"LG/J-control","129S1/SvImJ-fluoxetine",NA,TRUE,TRUE
"CBA/J-control","129S1/SvImJ-fluoxetine",NA,TRUE,TRUE
"NZB/BlNJ-control","129S1/SvImJ-fluoxetine",NA,TRUE,TRUE
"LP/J-control","129S1/SvImJ-fluoxetine",NA,TRUE,TRUE
"MRL/MpJ-control","129S1/SvImJ-fluoxetine",NA,TRUE,TRUE
"C58/J-control","129S1/SvImJ-fluoxetine",NA,TRUE,TRUE
"BTBR T+ tf/J-control","129S1/SvImJ-fluoxetine",NA,TRUE,TRUE
"BALB/cJ-control","129S1/SvImJ-fluoxetine",NA,TRUE,TRUE
"NZW/LacJ-control","129S1/SvImJ-fluoxetine",NA,TRUE,TRUE
"DBA/2J-control","129S1/SvImJ-fluoxetine",NA,TRUE,TRUE
"C57BR/cdJ-control","129S1/SvImJ-fluoxetine",NA,TRUE,TRUE
"C57BL/6J-control","129S1/SvImJ-fluoxetine",NA,TRUE,TRUE
"P/J-control","129S1/SvImJ-fluoxetine",NA,TRUE,TRUE
"SJL/J-control","129S1/SvImJ-fluoxetine",NA,TRUE,TRUE
"C57BLKS/J-control","129S1/SvImJ-fluoxetine",NA,TRUE,TRUE
"MA/MyJ-control","129S1/SvImJ-fluoxetine",NA,TRUE,TRUE
"NOR/LtJ-control","129S1/SvImJ-fluoxetine",NA,TRUE,TRUE
"AKR/J-control","129S1/SvImJ-fluoxetine",NA,TRUE,TRUE
"PL/J-control","129S1/SvImJ-fluoxetine",NA,TRUE,TRUE
"FVB/NJ-control","129S1/SvImJ-fluoxetine",NA,TRUE,TRUE
"I/LnJ-control","129S1/SvImJ-fluoxetine",NA,TRUE,TRUE
"RIIIS/J-control","129S1/SvImJ-fluoxetine",NA,TRUE,TRUE
"SWR/J-control","129S1/SvImJ-fluoxetine",NA,TRUE,TRUE
"CE/J-control","129S1/SvImJ-fluoxetine",NA,TRUE,TRUE
"129S1/SvImJ-control","129S1/SvImJ-fluoxetine",NA,TRUE,TRUE
"129S1/SvImJ-control","A/J-control",NA,TRUE,TRUE
"PL/J-control","A/J-fluoxetine",NA,TRUE,TRUE
"DBA/2J-control","A/J-fluoxetine",NA,TRUE,TRUE
"P/J-control","A/J-fluoxetine",NA,TRUE,TRUE
"A/J-control","A/J-fluoxetine",NA,TRUE,TRUE
"129S1/SvImJ-fluoxetine","A/J-fluoxetine",NA,TRUE,TRUE
"LP/J-control","A/J-fluoxetine",NA,TRUE,TRUE
"MRL/MpJ-control","A/J-fluoxetine",NA,TRUE,TRUE
"BALB/cJ-control","A/J-fluoxetine",NA,TRUE,TRUE
"BTBR T+ tf/J-control","A/J-fluoxetine",NA,TRUE,TRUE
"I/LnJ-control","A/J-fluoxetine",NA,TRUE,TRUE
"C3H/HeJ-control","A/J-fluoxetine",NA,TRUE,TRUE
"AKR/J-control","A/J-fluoxetine",NA,TRUE,TRUE
"CBA/J-control","A/J-fluoxetine",NA,TRUE,TRUE
"NZB/BlNJ-control","A/J-fluoxetine",NA,TRUE,TRUE
"C57BL/6J-control","A/J-fluoxetine",NA,TRUE,TRUE
"NZW/LacJ-control","A/J-fluoxetine",NA,TRUE,TRUE
"C57BR/cdJ-control","A/J-fluoxetine",NA,TRUE,TRUE
"CE/J-control","A/J-fluoxetine",NA,TRUE,TRUE
"BUB/BnJ-control","A/J-fluoxetine",NA,TRUE,TRUE
"MA/MyJ-control","A/J-fluoxetine",NA,TRUE,TRUE
"NOR/LtJ-control","A/J-fluoxetine",NA,TRUE,TRUE
"NOD/ShiLtJ-control","A/J-fluoxetine",NA,TRUE,TRUE
"129S1/SvImJ-control","A/J-fluoxetine",NA,TRUE,TRUE
"FVB/NJ-control","A/J-fluoxetine",NA,TRUE,TRUE
"SWR/J-control","A/J-fluoxetine",NA,TRUE,TRUE
"LG/J-control","A/J-fluoxetine",NA,TRUE,TRUE
"RIIIS/J-control","A/J-fluoxetine",NA,TRUE,TRUE
"SJL/J-control","A/J-fluoxetine",NA,TRUE,TRUE
"C57BLKS/J-control","A/J-fluoxetine",NA,TRUE,TRUE
"SM/J-control","A/J-fluoxetine",NA,TRUE,TRUE
"C58/J-control","A/J-fluoxetine",NA,TRUE,TRUE
"129S1/SvImJ-control","AKR/J-control",NA,TRUE,TRUE
"A/J-control","AKR/J-control",NA,TRUE,TRUE
"DBA/2J-control","AKR/J-fluoxetine",NA,TRUE,TRUE
"C3H/HeJ-control","AKR/J-fluoxetine",NA,TRUE,TRUE
"I/LnJ-control","AKR/J-fluoxetine",NA,TRUE,TRUE
"MRL/MpJ-control","AKR/J-fluoxetine",NA,TRUE,TRUE
"129S1/SvImJ-fluoxetine","AKR/J-fluoxetine",NA,TRUE,TRUE
"A/J-fluoxetine","AKR/J-fluoxetine",NA,TRUE,TRUE
"NZW/LacJ-control","AKR/J-fluoxetine",NA,TRUE,TRUE
"LP/J-control","AKR/J-fluoxetine",NA,TRUE,TRUE
"A/J-control","AKR/J-fluoxetine",NA,TRUE,TRUE
"NZB/BlNJ-control","AKR/J-fluoxetine",NA,TRUE,TRUE
"C57BL/6J-control","AKR/J-fluoxetine",NA,TRUE,TRUE
"P/J-control","AKR/J-fluoxetine",NA,TRUE,TRUE
"CBA/J-control","AKR/J-fluoxetine",NA,TRUE,TRUE
"SM/J-control","AKR/J-fluoxetine",NA,TRUE,TRUE
"BTBR T+ tf/J-control","AKR/J-fluoxetine",NA,TRUE,TRUE
"BUB/BnJ-control","AKR/J-fluoxetine",NA,TRUE,TRUE
"AKR/J-control","AKR/J-fluoxetine",NA,TRUE,TRUE
"C58/J-control","AKR/J-fluoxetine",NA,TRUE,TRUE
"129S1/SvImJ-control","AKR/J-fluoxetine",NA,TRUE,TRUE
"FVB/NJ-control","AKR/J-fluoxetine",NA,TRUE,TRUE
"PL/J-control","AKR/J-fluoxetine",NA,TRUE,TRUE
"BALB/cJ-control","AKR/J-fluoxetine",NA,TRUE,TRUE
"RIIIS/J-control","AKR/J-fluoxetine",NA,TRUE,TRUE
"NOD/ShiLtJ-control","AKR/J-fluoxetine",NA,TRUE,TRUE
"SWR/J-control","AKR/J-fluoxetine",NA,TRUE,TRUE
"NOR/LtJ-control","AKR/J-fluoxetine",NA,TRUE,TRUE
"LG/J-control","AKR/J-fluoxetine",NA,TRUE,TRUE
"SJL/J-control","AKR/J-fluoxetine",NA,TRUE,TRUE
"C57BLKS/J-control","AKR/J-fluoxetine",NA,TRUE,TRUE
"MA/MyJ-control","AKR/J-fluoxetine",NA,TRUE,TRUE
"CE/J-control","AKR/J-fluoxetine",NA,TRUE,TRUE
"C57BR/cdJ-control","AKR/J-fluoxetine",NA,TRUE,TRUE
"129S1/SvImJ-control","BALB/cJ-control",NA,TRUE,TRUE
"A/J-control","BALB/cJ-control",NA,TRUE,TRUE
"AKR/J-control","BALB/cJ-control",NA,TRUE,TRUE
"C3H/HeJ-control","BALB/cJ-fluoxetine",NA,TRUE,TRUE
"CBA/J-control","BALB/cJ-fluoxetine",NA,TRUE,TRUE
"NZB/BlNJ-control","BALB/cJ-fluoxetine",NA,TRUE,TRUE
"A/J-control","BALB/cJ-fluoxetine",NA,TRUE,TRUE
"PL/J-control","BALB/cJ-fluoxetine",NA,TRUE,TRUE
"I/LnJ-control","BALB/cJ-fluoxetine",NA,TRUE,TRUE
"LP/J-control","BALB/cJ-fluoxetine",NA,TRUE,TRUE
"SM/J-control","BALB/cJ-fluoxetine",NA,TRUE,TRUE
"LG/J-control","BALB/cJ-fluoxetine",NA,TRUE,TRUE
"C57BL/6J-control","BALB/cJ-fluoxetine",NA,TRUE,TRUE
"P/J-control","BALB/cJ-fluoxetine",NA,TRUE,TRUE
"DBA/2J-control","BALB/cJ-fluoxetine",NA,TRUE,TRUE
"AKR/J-control","BALB/cJ-fluoxetine",NA,TRUE,TRUE
"SWR/J-control","BALB/cJ-fluoxetine",NA,TRUE,TRUE
"NOD/ShiLtJ-control","BALB/cJ-fluoxetine",NA,TRUE,TRUE
"129S1/SvImJ-control","BALB/cJ-fluoxetine",NA,TRUE,TRUE
"A/J-fluoxetine","BALB/cJ-fluoxetine",NA,TRUE,TRUE
"129S1/SvImJ-fluoxetine","BALB/cJ-fluoxetine",NA,TRUE,TRUE
"RIIIS/J-control","BALB/cJ-fluoxetine",NA,TRUE,TRUE
"AKR/J-fluoxetine","BALB/cJ-fluoxetine",NA,TRUE,TRUE
"FVB/NJ-control","BALB/cJ-fluoxetine",NA,TRUE,TRUE
"C58/J-control","BALB/cJ-fluoxetine",NA,TRUE,TRUE
"MRL/MpJ-control","BALB/cJ-fluoxetine",NA,TRUE,TRUE
"BTBR T+ tf/J-control","BALB/cJ-fluoxetine",NA,TRUE,TRUE
"BUB/BnJ-control","BALB/cJ-fluoxetine",NA,TRUE,TRUE
"NZW/LacJ-control","BALB/cJ-fluoxetine",NA,TRUE,TRUE
"MA/MyJ-control","BALB/cJ-fluoxetine",NA,TRUE,TRUE
"C57BLKS/J-control","BALB/cJ-fluoxetine",NA,TRUE,TRUE
"SJL/J-control","BALB/cJ-fluoxetine",NA,TRUE,TRUE
"BALB/cJ-control","BALB/cJ-fluoxetine",NA,TRUE,TRUE
"C57BR/cdJ-control","BALB/cJ-fluoxetine",NA,TRUE,TRUE
"NOR/LtJ-control","BALB/cJ-fluoxetine",NA,TRUE,TRUE
"CE/J-control","BALB/cJ-fluoxetine",NA,TRUE,TRUE
"129S1/SvImJ-control","BTBR T+ tf/J-control",NA,TRUE,TRUE
"A/J-control","BTBR T+ tf/J-control",NA,TRUE,TRUE
"BALB/cJ-control","BTBR T+ tf/J-control",NA,TRUE,TRUE
"AKR/J-control","BTBR T+ tf/J-control",NA,TRUE,TRUE
"LG/J-control","BTBR T+ tf/J-fluoxetine",NA,TRUE,TRUE
"C3H/HeJ-control","BTBR T+ tf/J-fluoxetine",NA,TRUE,TRUE
"A/J-fluoxetine","BTBR T+ tf/J-fluoxetine",NA,TRUE,TRUE
"I/LnJ-control","BTBR T+ tf/J-fluoxetine",NA,TRUE,TRUE
"PL/J-control","BTBR T+ tf/J-fluoxetine",NA,TRUE,TRUE
"CBA/J-control","BTBR T+ tf/J-fluoxetine",NA,TRUE,TRUE
"DBA/2J-control","BTBR T+ tf/J-fluoxetine",NA,TRUE,TRUE
"A/J-control","BTBR T+ tf/J-fluoxetine",NA,TRUE,TRUE
"C57BR/cdJ-control","BTBR T+ tf/J-fluoxetine",NA,TRUE,TRUE
"LP/J-control","BTBR T+ tf/J-fluoxetine",NA,TRUE,TRUE
"FVB/NJ-control","BTBR T+ tf/J-fluoxetine",NA,TRUE,TRUE
"129S1/SvImJ-control","BTBR T+ tf/J-fluoxetine",NA,TRUE,TRUE
"MRL/MpJ-control","BTBR T+ tf/J-fluoxetine",NA,TRUE,TRUE
"P/J-control","BTBR T+ tf/J-fluoxetine",NA,TRUE,TRUE
"C57BL/6J-control","BTBR T+ tf/J-fluoxetine",NA,TRUE,TRUE
"NZB/BlNJ-control","BTBR T+ tf/J-fluoxetine",NA,TRUE,TRUE
"BALB/cJ-control","BTBR T+ tf/J-fluoxetine",NA,TRUE,TRUE
"SWR/J-control","BTBR T+ tf/J-fluoxetine",NA,TRUE,TRUE
"BALB/cJ-fluoxetine","BTBR T+ tf/J-fluoxetine",NA,TRUE,TRUE
"AKR/J-control","BTBR T+ tf/J-fluoxetine",NA,TRUE,TRUE
"CE/J-control","BTBR T+ tf/J-fluoxetine",NA,TRUE,TRUE
"NOR/LtJ-control","BTBR T+ tf/J-fluoxetine",NA,TRUE,TRUE
"129S1/SvImJ-fluoxetine","BTBR T+ tf/J-fluoxetine",NA,TRUE,TRUE
"C57BLKS/J-control","BTBR T+ tf/J-fluoxetine",NA,TRUE,TRUE
