"","strain","FEMALES_body_weight","group"
"744","SPRET/EiJ",13.3,"control"
"745","SPRET/EiJ",13.2,"control"
"746","SPRET/EiJ",12.4,"control"
"747","SPRET/EiJ",12.4,"control"
"748","SPRET/EiJ",11.8,"control"
"749","SPRET/EiJ",12.6,"control"
"750","SPRET/EiJ",11.2,"control"
"751","SPRET/EiJ",13.9,"control"
"752","SWR/J",NA,"control"
"753","SWR/J",NA,"control"
"754","SWR/J",NA,"control"
"755","SWR/J",NA,"control"
"756","SWR/J",NA,"control"
"757","SWR/J",NA,"control"
"758","SWR/J",NA,"control"
"759","SWR/J",NA,"control"
"760","SWR/J",NA,"control"
"761","SWR/J",15.9,"control"
"762","SWR/J",14.4,"control"
"763","SWR/J",15.8,"control"
"764","SWR/J",15.6,"control"
"765","SWR/J",14.6,"control"
"766","SWR/J",16.4,"control"
"767","SWR/J",16.4,"control"
"768","SWR/J",16.8,"control"
"769","SWR/J",16.6,"control"
"770","SWR/J",15.6,"control"
"771","WSB/EiJ",11,"control"
"772","WSB/EiJ",12.9,"control"
"773","WSB/EiJ",11.3,"control"
"774","WSB/EiJ",12.7,"control"
"775","WSB/EiJ",12.4,"control"
"776","WSB/EiJ",12.7,"control"
"777","WSB/EiJ",12,"control"
"778","WSB/EiJ",11.3,"control"
"779","WSB/EiJ",NA,"control"
"780","WSB/EiJ",NA,"control"
"781","WSB/EiJ",NA,"control"
"782","WSB/EiJ",NA,"control"
"783","WSB/EiJ",NA,"control"
"784","WSB/EiJ",NA,"control"
"785","WSB/EiJ",NA,"control"
"786","WSB/EiJ",NA,"control"
"787","WSB/EiJ",NA,"control"
"788","WSB/EiJ",NA,"control"
"789","WSB/EiJ",10.5,"control"
"790","WSB/EiJ",12.7,"control"
