"","strain","MALES_body_weight","group"
"744","SPRET/EiJ",NA,"control"
"745","SPRET/EiJ",NA,"control"
"746","SPRET/EiJ",NA,"control"
"747","SPRET/EiJ",NA,"control"
"748","SPRET/EiJ",NA,"control"
"749","SPRET/EiJ",NA,"control"
"750","SPRET/EiJ",NA,"control"
"751","SPRET/EiJ",NA,"control"
"752","SWR/J",24.8,"control"
"753","SWR/J",21.2,"control"
"754","SWR/J",24.1,"control"
"755","SWR/J",22.5,"control"
"756","SWR/J",23.6,"control"
"757","SWR/J",23.8,"control"
"758","SWR/J",21.8,"control"
"759","SWR/J",21.9,"control"
"760","SWR/J",23.1,"control"
"761","SWR/J",NA,"control"
"762","SWR/J",NA,"control"
"763","SWR/J",NA,"control"
"764","SWR/J",NA,"control"
"765","SWR/J",NA,"control"
"766","SWR/J",NA,"control"
"767","SWR/J",NA,"control"
"768","SWR/J",NA,"control"
"769","SWR/J",NA,"control"
"770","SWR/J",NA,"control"
"771","WSB/EiJ",NA,"control"
"772","WSB/EiJ",NA,"control"
"773","WSB/EiJ",NA,"control"
"774","WSB/EiJ",NA,"control"
"775","WSB/EiJ",NA,"control"
"776","WSB/EiJ",NA,"control"
"777","WSB/EiJ",NA,"control"
"778","WSB/EiJ",NA,"control"
"779","WSB/EiJ",14.9,"control"
"780","WSB/EiJ",15.7,"control"
"781","WSB/EiJ",16.6,"control"
"782","WSB/EiJ",16.2,"control"
"783","WSB/EiJ",15.3,"control"
"784","WSB/EiJ",14.3,"control"
"785","WSB/EiJ",17.4,"control"
"786","WSB/EiJ",12.6,"control"
"787","WSB/EiJ",15.9,"control"
"788","WSB/EiJ",17.2,"control"
"789","WSB/EiJ",NA,"control"
"790","WSB/EiJ",NA,"control"
